	C_1_8_siA1	C_1_8_siA2	C_1_8_siA3	C_1_8_siC1	C_1_8_siC2	C_1_8_siC3	C_4_2_siA1	C_4_2_siA2	C_4_2_siA3	C_4_2_siC1	C_4_2_siC2	C_4_2_siC3	C_Ctrl_siA1	C_Ctrl_siA2	C_Ctrl_siA3	C_Ctrl_siC1	C_Ctrl_siC2	C_Ctrl_siC3	P_siA1	P_siA2	P_siA3	P_siC1	P_siC2	P_siC3
ENSG00000186788.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186790.6	0	0	0	0	0.0411242772170949	0.197466008867342	0	0	0.0459594449698087	0.0340993510825332	0	0	0.0828308545109033	0	0	0.0430372784999327	0.0711107317263612	0	0	0	0	0	0.0422563176421491	0.0435462548281505
ENSG00000186792.17	8.21754288544228	7.51031525165676	7.50488406572225	7.51865123505202	8.62069483532062	10.5030378108616	3.79838903536515	4.7717023523737	4.28390212351434	5.28335038837931	4.31760241999268	8.05031568670077	9.26859318591529	9.87083697837272	8.1886040884029	10.8229397944292	10.0705151198893	12.3181245323591	9.16232906633675	10.4622070168115	9.6167557396063	7.50726458175265	7.70757079697615	7.86863779904422
ENSG00000186795.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186803.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186806.6	0.99552801736132	1.23960838315964	1.01327963992254	0.969059868523964	1.55388234969413	1.13817509952764	1.02510395193468	0.765190155332949	1.32486447872892	1.48595409752852	1.39332631232038	1.42486259000613	1.96210544347278	1.70607489032685	1.57033583551621	1.55708006469442	1.26055136206877	1.99381970939064	1.2410027542422	1.49857970727384	1.2486159077857	1.09036191053103	1.37539135532888	0.966714790855762
ENSG00000186810.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0465695412763937	0	0	0	0	0
ENSG00000186812.13	3.35648017768443	4.37089167714096	2.42852612710043	3.36619727261131	2.21758342375193	4.13610696308888	2.21567505696438	3.18955020788535	3.17821101956913	2.74201204108084	2.75904907724118	3.59571383544889	3.44325276489324	4.00603071694171	3.62901865694281	4.19294259116555	3.41449145053441	3.31647793281627	1.92204025684888	2.38457984351249	2.02339861148454	2.55259179069122	3.36577031900005	2.42832078803519
ENSG00000186814.14	2.43015293282564	3.18658537115926	2.48051183139216	2.1167580725366	3.17195841959421	2.27791958471678	2.95606309104124	2.80457704173608	3.5859454352178	3.12223012373948	2.12198661906598	3.7313531033787	2.68461845935646	2.5193598425622	2.03925107185997	1.73362847466122	3.10910551812529	2.81686428009869	1.67428341645756	2.77697798213361	1.53371164679612	1.32657483383128	1.55104248591242	1.37416622041238
ENSG00000186815.13	25.5625363074505	27.5782466314939	34.8603886738648	22.1336383574366	24.0254173207727	29.478145859547	24.2771560098283	23.4414339558249	27.2589633144994	28.5521763531775	24.4489407119918	27.1182383185716	23.0665995584514	20.723955679355	18.4484867072498	19.5520684157459	24.3412356074666	28.0596669816173	10.5908856929232	8.53855097000505	9.8409711932948	14.2040744013946	14.5306376665228	19.0431819410376
