baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_id	gene_name	biotype	description2	medianTPM_WT	medianTPM_HET
ENSG00000149294	728.475982408238	9.32907809122266	0.641257114647766	415.897075407442	1.90768494350033e-92	5.76014870440237e-90	ENSG00000149294	NCAM1	protein_coding	neural cell adhesion molecule 1 	0.0379367052567719	32.3339018863563
ENSG00000101311	674.439038271962	6.47443349986385	0.308436291519844	404.711308839231	5.1922637788191e-90	1.52540289934496e-87	ENSG00000101311	FERMT1	protein_coding	FERM domain containing kindlin 1 	0.188670927222676	18.6185726914922
ENSG00000206190	339.021249851621	6.92366067703252	0.413804152713463	399.137598353094	8.48533805960501e-89	2.42725328178701e-86	ENSG00000206190	ATP10A	protein_coding	ATPase phospholipid transporting 10A (putative) 	0.157872205280172	14.1585290608197
ENSG00000197959	557.351604643594	3.59964107811588	0.179781918602877	370.937960031535	1.16942351852618e-82	3.25939324266143e-80	ENSG00000197959	DNM3	protein_coding	dynamin 3 	1.15698592091148	13.1508578239178
ENSG00000189337	687.346567048051	6.39526204781893	0.312594224984243	366.030818480312	1.36905343221577e-81	3.72040270204634e-79	ENSG00000189337	KAZN	protein_coding	kazrin, periplakin interacting protein 	0.197852602095614	24.2385421663246
ENSG00000107130	452.158837446093	4.9990463964958	0.258589506616264	365.594400483485	1.70390361259573e-81	4.51742250461355e-79	ENSG00000107130	NCS1	protein_coding	neuronal calcium sensor 1 	0.750763562515046	26.7556761379624
ENSG00000261115	1024.99379057278	2.63495448245518	0.133062291210867	364.833522744355	2.49526962881801e-81	6.45799544410758e-79	ENSG00000261115	TMEM178B	protein_coding	transmembrane protein 178B 	1.65206317478559	10.3164272102328
ENSG00000104723	352.270336652174	5.55656264728036	0.317339429224571	362.192419470808	9.37982846725626e-81	2.37113338230408e-78	ENSG00000104723	TUSC3	protein_coding	tumor suppressor candidate 3 	0.865103867304691	40.2649958404229
ENSG00000187134	310.560410285321	8.99710272581564	0.771198758469677	360.452304911404	2.2443781731715e-80	5.5446342596305e-78	ENSG00000187134	AKR1C1	protein_coding	aldo-keto reductase family 1 member C1 	0.0986745286172496	39.784061670514
ENSG00000162733	627.335207668536	4.76284203823434	0.2369184492262	358.817929666669	5.09304523871507e-80	1.2302533721074e-77	ENSG00000162733	DDR2	protein_coding	discoidin domain receptor tyrosine kinase 2 	0.356963929947331	10.5909519937403
ENSG00000123892	879.777959022797	-3.01730235372229	0.153442628904998	354.8357607121	3.75063252614246e-79	8.86290773025403e-77	ENSG00000123892	RAB38	protein_coding	RAB38, member RAS oncogene family 	74.1727668506213	9.16254302850595
ENSG00000157657	348.751196299761	5.60485569989572	0.309141354240412	354.396675508743	4.67431560271773e-79	1.0810598000328e-76	ENSG00000157657	ZNF618	protein_coding	zinc finger protein 618 	0.160774811854933	6.25785379545772
ENSG00000218336	647.957848979464	5.14120274176832	0.262279121209354	346.208840149786	2.83616214461126e-77	6.42272552331758e-75	ENSG00000218336	TENM3	protein_coding	teneurin transmembrane protein 3 	0.567021593658839	15.9113290669247
ENSG00000134775	834.713839623708	3.58757133165835	0.182150390052248	343.411784151761	1.153069424364e-76	2.55793155976259e-74	ENSG00000134775	FHOD3	protein_coding	formin homology 2 domain containing 3 	1.79887069692692	22.0201080544849
ENSG00000198929	212.194834783364	8.48397828740315	0.764369293042233	336.795190101052	3.18295697460675e-75	6.91974846279507e-73	ENSG00000198929	NOS1AP	protein_coding	nitric oxide synthase 1 adaptor protein 	0.0227638798927942	11.9491979456232
ENSG00000169083	258.095608885148	10.4994827618771	1.2082988846477	335.368639443833	6.50906514242728e-75	1.38732427643499e-72	ENSG00000169083	AR	protein_coding	androgen receptor 	0	4.01436525260463
ENSG00000291205	264.943883595848	9.04906320432462	0.875153344411052	326.221719600152	6.39316687496828e-73	1.33641776790202e-70	ENSG00000291205		lncRNA	novel transcript	0.0756194872358088	66.0074265047575
ENSG00000139946	225.477063241327	8.85560525812552	0.872547810606737	325.953844964342	7.31242766673089e-73	1.4997375233465e-70	ENSG00000139946	PELI2	protein_coding	pellino E3 ubiquitin protein ligase family member 2 	0	4.58358158023989
ENSG00000115232	4078.64157080076	-5.2141819780881	0.246184152839898	324.63836969283	1.41444550843135e-72	2.84722642160162e-70	ENSG00000115232	ITGA4	protein_coding	integrin subunit alpha 4 	141.962941857948	3.18661650026807
ENSG00000172020	439.551954170569	8.07785320767441	0.537341852114986	321.09203222045	8.37595290732351e-72	1.65539287459285e-69	ENSG00000172020	GAP43	protein_coding	growth associated protein 43 	0.140127329199203	38.5685821711042
ENSG00000205045	620.502061481548	-3.9533403075466	0.208268394316126	320.606441481248	1.06857630890604e-71	2.07418294246584e-69	ENSG00000205045	SLFN12L	protein_coding	schlafen family member 12 like 	5.63704920335163	0.338752983482069
