gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000166311.10	92.18170458	-1.407830089	0.3030001917	21.12077686	4.31E-06	6.36E-05	-1.267747312	58.75937072	4.613752466	2.212453765
ENSG00000169282.18	87.69290111	1.174418202	0.2569130832	20.79234258	5.12E-06	7.47E-05	1.057799009	-66.57188757	0.974442445	2.246271965
ENSG00000277632.2	61.29626487	-1.616648517	0.3618772141	19.66876952	9.21E-06	0.0001260992696	-1.440818678	67.83826411	12.535873	4.103118743
ENSG00000069535.14	101.5406793	-1.195447077	0.2725897983	19.00611971	1.30E-05	0.0001716669348	-1.0607562	70.13738545	3.404978173	1.601100919
ENSG00000184635.16	84.10194659	-1.241893254	0.2870300026	18.49423073	1.70E-05	0.0002177953932	-1.099568088	74.99815703	3.971406138	1.48920944
ENSG00000196353.13	57.71526486	1.69402406	0.3898256546	18.29782768	1.89E-05	0.0002381795467	1.496464028	-56.93035704	0.4813962815	1.590971313
ENSG00000134258.18	72.26132546	1.196218104	0.279999939	18.22241711	1.97E-05	0.0002469636538	1.05792406	-58.19396114	1.16202705	2.745381274
ENSG00000174640.15	51.71522409	1.517326373	0.3550728789	18.18426848	2.01E-05	0.0002513255559	1.337529893	-50.43209078	0.4296297648	1.413770852
ENSG00000014257.17	63.77875799	1.260963479	0.2983726497	17.7798545	2.48E-05	0.000304426371	1.110693163	-52.30417028	1.322051692	3.112872601
ENSG00000094755.17	76.82354234	1.204291837	0.286396397	17.72324454	2.55E-05	0.0003120812477	1.060095413	-61.24218551	1.617491591	3.694695365
ENSG00000101825.8	56.59427841	-1.355081107	0.3232151252	17.45901347	2.94E-05	0.0003519763124	-1.187048916	51.60271491	0.5335085823	0.184631278
ENSG00000064225.13	198.9303298	1.2391521	0.2956954299	17.07343267	3.60E-05	0.0004205204502	1.087233528	-117.0170556	7.987202621	14.2255389
ENSG00000249992.2	82.74977613	-1.155501586	0.2864747816	16.16482809	5.81E-05	0.0006405729128	-1.002745442	65.21218772	4.275374847	1.842980724
ENSG00000180730.5	67.97816417	1.29719657	0.32155264	16.14473556	5.87E-05	0.0006445459369	1.124213823	-54.2221812	0.6445326632	1.598239225
ENSG00000205809.11	60.79183112	-1.24517988	0.3094526413	16.11211627	5.97E-05	0.0006538185837	-1.077615866	51.89527397	5.927491482	2.588838082
ENSG00000147003.7	65.44200196	-1.258102778	0.3184569285	15.45307706	8.46E-05	0.0008816428946	-1.0806365	57.86711429	5.332733597	2.236473636
ENSG00000175544.14	61.92330726	1.813317079	0.4532911691	15.09456743	0.0001022571434	0.001030649817	1.55049892	-77.7968481	0.8875656285	3.501377003
ENSG00000144821.11	46.13189651	-1.893575852	0.4804353533	14.78841436	0.0001202721562	0.001191308876	-1.606247848	59.16487127	0.9251313665	0.1581235123
ENSG00000124613.9	58.90035364	1.354274156	0.3539386831	14.4031405	0.000147556023	0.001431168782	1.147089572	-60.02557993	0.6742918664	1.967765567
ENSG00000198910.14	83.99638082	-1.32207747	0.3602207616	13.11459959	0.000293003426	0.002578810224	-1.095935772	99.84222522	2.638654169	0.7754764528
ENSG00000060709.16	31.08448798	2.208709864	0.592525626	12.75934908	0.0003542341467	0.003030173701	1.808600359	-50.21806183	0.2217508051	1.691198716
ENSG00000009765.15	40.85901494	2.011404618	0.6369562028	8.890919617	0.002865923493	0.01738303128	1.405492684	-52.00556018	0.1429957119	1.209043152
