gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000259956.2	3069.529724	-0.4875893223	0.07002633692	48.31613347	3.63E-12	6.17E-11	-0.4774631596	-1081.056766	24.97132839	34.50602514
ENSG00000259959.1	68.09211104	0.5616874706	0.3130946598	3.206459134	0.07334805619	1.56E-01	0.368502241	22.44653672	1.31842139	0.912526428
ENSG00000259972.3	70.72067075	0.3321232189	0.3632883295	0.8341470029	0.3610761144	5.18E-01	0.1668164739	30.41338181	5.221307826	3.582153111
ENSG00000259974.5	13.7684834	-1.145325653	0.6586750491	2.992758339	0.08363759056	1.73E-01	-0.3187360589	-8.933951274	0.139907566	0.3005032585
ENSG00000259976.3	223.9269251	0.3309510304	0.1638860555	4.07731719	0.04346261481	1.03E-01	0.2833267777	48.91054005	1.005132254	0.839314083
ENSG00000259985.1	7.562433177	-0.6105894677	1.023480194	0.3537358331	0.5520059459	6.96E-01	-0.06232076455	-2.943808446	0.3761269059	0.5933085584
ENSG00000259994.1	19.89469489	0.1411301216	0.5471701707	0.06655995949	0.7964129506	8.77E-01	0.04063890569	-1.395022217	0.3782830135	0.389932699
ENSG00000260000.3	12.23960837	0.4967705006	0.7143785726	0.4830306697	0.4870527454	6.39E-01	0.09704456162	3.319838072	0.5312701405	0.3961356604
ENSG00000260001.7	54.98993245	-0.4683103526	0.3232190233	2.093391906	0.1479372953	2.70E-01	-0.281425684	-15.3547616	4.460441729	5.79973378
ENSG00000260007.3	205.0491929	0.3020686105	0.1654975893	3.330311325	0.06801399921	1.47E-01	0.2560261163	46.27701785	5.207130873	4.279853789
ENSG00000260018.2	9.93775969	-0.9239415815	0.8154637596	1.286532203	0.2566880064	4.06E-01	-0.150775052	-6.786844033	1.339920788	2.882768024
ENSG00000260027.5	1205.450679	0.1180499457	0.0926436471	1.623275349	0.2026356911	3.41E-01	0.1106557351	117.2859693	71.7869309	66.44165799
ENSG00000260032.2	5339.74059	-0.3481022592	0.08742759188	15.82122443	6.96E-05	3.82E-04	-0.3332238046	-1579.792227	52.07705586	72.2229523
ENSG00000260083.3	23.03654834	-0.3307191778	0.526649536	0.3938976445	0.5302577166	6.77E-01	-0.1013132878	-1.945210031	1.923813263	2.177024802
ENSG00000260086.5	14.28333463	0.08849991713	0.6357502749	0.01995250519	0.8876698117	9.32E-01	0.02044071942	3.537658807	0.7855707697	0.5636651171
ENSG00000260121.1	46.398582	0.45595945	0.4111497189	1.230115117	0.2673846517	4.18E-01	0.2073390228	17.08807258	1.905418103	1.280243579
