baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionko	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0051789	6560.28267220506	1.31880333612062	0.138388230219775	87.9275053522907	6.78979086917358e-21	9.36142416087307e-19	1550.17622324844	908.795060246572	FBgn0051789		protein_coding	318943
FBgn0040070	3014.59869123799	1.12762435480808	0.118979926355375	87.844425867495	7.081051035159e-21	9.61279912834507e-19	277.730262904146	192.673492293427	FBgn0040070	thioredoxin-2	protein_coding	34281
FBgn0017448	246.185110937016	2.48841055732818	0.257454116022971	87.4029501015386	8.85183626264138e-21	1.1834636845689e-18	9.24833358882356	2.10225377338945	FBgn0017448		protein_coding	43743
FBgn0039778	33267.737576498	3.23768876884481	0.318268214487478	87.1104644352763	1.02626119495121e-20	1.35160131108201e-18	2803.72574635159	463.065032581881	FBgn0039778	Jonah 99Fi	protein_coding	43622
FBgn0002533	108622.561491096	4.38355305142586	0.412971399558295	85.2368398316344	2.64684245894609e-20	3.43466733202063e-18	22196.3134862597	1557.91246809688	FBgn0002533	Larval cuticle protein 2	protein_coding	35818
FBti0019151	11895.2262413698	2.70669854811025	0.276450923213685	84.4920858050643	3.85755881280217e-20	4.93320274842991e-18	155.254381648678	39.3897531492019	FBti0019151		transposable_element	NA
FBgn0020270	354.425104975606	-1.72189677982407	0.185137899168346	84.1918358973692	4.49021039521883e-20	5.66023093248728e-18	3.33500827000118	17.0325269215974	FBgn0020270	meiotic recombination 11	protein_coding	34565
FBgn0025454	2899.09576150923	-3.01981037555034	0.308541297909013	82.5609746604383	1.02460157882405e-19	1.25827183646112e-17	12.1393402462269	161.091858577252	FBgn0025454	Cytochrome P450 6g1	protein_coding	36316
FBgn0053459	436.100733211617	2.92793639930683	0.303501372324661	82.5569401472225	1.02669506148233e-19	1.25827183646112e-17	41.6943013624187	8.42144946847954	FBgn0053459		protein_coding	2768847
FBgn0003086	527.767027738491	2.91019778032311	0.302615981029256	81.7503621998826	1.54408285676737e-19	1.8664365928925e-17	80.6402681865836	18.3856765851501	FBgn0003086	Pre-intermoult gene 1	protein_coding	31303
FBgn0035298	934.375629151133	1.7827022034017	0.192670306019279	81.3602633268403	1.88102309598947e-19	2.24299294581231e-17	40.8686601575893	15.4257432929965	FBgn0035298	Succinyl-CoA:3-ketoacid CoA transferase	protein_coding	38261
FBgn0038481	1170.8299192245	2.66876596670943	0.280527943518081	80.6496568639487	2.69501324792334e-19	3.17077291995674e-17	104.553421798081	21.1069890337559	FBgn0038481		protein_coding	42069
FBti0060381	48.3120420970529	-8.82410730218293	1.28210753509053	79.7175325742666	4.31950614962498e-19	5.01517398214352e-17	0	3.42746048011908	FBti0060381		transposable_element	NA
FBgn0012036	6638.674857718	1.96747965382919	0.213181504300986	79.3919605893069	5.09329418775312e-19	5.83678284580955e-17	269.08417428162	84.4191125188847	FBgn0012036	Aldehyde dehydrogenase	protein_coding	34256
FBgn0035083	2361.58612584982	1.38320105204328	0.153082417903876	78.9291683115177	6.43772039553914e-19	7.28287753464581e-17	204.785457141814	101.959201590097	FBgn0035083	Troponin C-akin-1	protein_coding	37989
FBgn0052404	606.25762741452	3.36983779240815	0.351632405900644	77.9835293722453	1.0390333534594e-18	1.16056079885136e-16	211.385177785581	34.3332252813599	FBgn0052404	Cuticular protein 65Aw	protein_coding	38706
FBgn0033792	302.241144895285	2.53980535971541	0.276240311389465	77.7695906376736	1.15789135562587e-18	1.27715416525533e-16	10.7241803483628	2.64053356261207	FBgn0033792		protein_coding	36437
FBti0019113	2792.32078163383	4.027410735675	0.405709903968673	77.5677108676277	1.28249649749024e-18	1.39712951775974e-16	38.786942691296	3.42713120985318	FBti0019113		transposable_element	NA
FBgn0259209	5364.16227468919	1.89730285713418	0.208706574978749	77.4066685876072	1.39144617991262e-18	1.4973318404328e-16	1770.3530759131	652.698382722819	FBgn0259209	Muscle LIM protein at 60A	protein_coding	37853
FBgn0052819	73.4069886855809	-4.66440386580119	0.548432729766615	77.0621719147151	1.65660086724069e-18	1.76118627138938e-16	0.102999648844988	3.8073978236754	FBgn0052819		protein_coding	318227
FBgn0052820	73.3998517055246	-4.6639794855868	0.548455503841368	77.0376376071931	1.67730830563529e-18	1.76197243915783e-16	0.102999648844988	3.8073978236754	FBgn0052820		protein_coding	318228
FBgn0051741	271.727795358054	3.48138964716027	0.370057629316955	76.3738639541773	2.34737532467125e-18	2.43685174881166e-16	9.84682686354385	1.55495382926736	FBgn0051741		protein_coding	35079
FBgn0010387	1656.79244467387	2.17904550469566	0.240347345419406	75.7710460005244	3.18537822283477e-18	3.26834621375512e-16	674.066320074504	183.80660135694	FBgn0010387	Acyl-CoA binding protein 2	protein_coding	38784
FBgn0003360	17609.8164346104	1.3646576419204	0.154437665689477	75.3611879003946	3.92020742082015e-18	3.97608164153069e-16	664.518308170902	411.340477399455	FBgn0003360	stress-sensitive B	protein_coding	32007
FBgn0030539	2081.18277873029	1.99989987522177	0.224605497988653	73.9064372584394	8.19087625897924e-18	8.21321501241281e-16	234.656777562899	92.3765438205611	FBgn0030539		protein_coding	32361
FBgn0000055	39319.82228283	1.99679069239392	0.225058212203478	73.1501040162232	1.201552375633e-17	1.19098236121131e-15	2976.52960933966	1155.9505601217	FBgn0000055	Alcohol dehydrogenase	protein_coding	3771877
FBgn0051633	234.195407592175	1.82765870919165	0.210543254467062	73.1285641516985	1.21473722245034e-17	1.19098236121131e-15	10.2969319458884	4.92543367001678	FBgn0051633		protein_coding	33931
FBgn0033096	28.7431452784796	7.53762393910957	1.2706711617861	72.902888244085	1.36188726246941e-17	1.32058167077253e-15	2.4710738576395	0	FBgn0033096	Zinc/iron regulated transporter-related protein 42C.1	protein_coding	35579
FBgn0034885	2143.91038609275	1.91345259652049	0.218243288742428	72.0538453866674	2.09404719819452e-17	2.00846439965961e-15	152.277647624911	52.7565935562894	FBgn0034885	Entomoglyceroporin 4	protein_coding	37739
FBgn0040773	1385.60141330217	1.27771697861212	0.14869134948817	71.8875874127575	2.27812470747743e-17	2.16152391599794e-15	416.426651632984	237.284956664248	FBgn0040773	Cytochrome c oxidase subunit 7C	protein_coding	50246
FBgn0034497	1619.16569426801	2.315741609644	0.261353400826625	71.6416313275967	2.58054224509917e-17	2.42241540114416e-15	83.7395089717336	27.0440503169411	FBgn0034497	Mitochondrial phosphate carrier protein 1	protein_coding	37297
FBgn0036824	5005.09951339013	2.0297424710219	0.231619707162896	71.29243562771	3.08014426306599e-17	2.86096768182045e-15	239.100944880064	80.290569006632	FBgn0036824		protein_coding	40059
FBgn0283433	46.6535422310403	-8.7736368974871	1.29925772061159	70.8858372798699	3.78505370576672e-17	3.47909519788391e-15	0	2.38414224626561	FBgn0283433	Sperm-specific dynein intermediate chain B	protein_coding	26067075
FBgn0052198	3860.38433371769	2.41241339697443	0.272538405124664	70.7824544996859	3.98868632217866e-17	3.62847093885614e-15	1015.61625378007	257.43570855312	FBgn0052198		protein_coding	317909
FBgn0036109	855.241595817992	2.80936908296495	0.314233409132308	70.5630557944619	4.45787589952226e-17	4.01390785075351e-15	177.015808527136	37.4009973080357	FBgn0036109	Cuticular protein 67Fa2	protein_coding	39224
FBgn0033683	684.788840348146	2.71074566950886	0.305285115936584	70.3136548315279	5.05863254926313e-17	4.50882561764625e-15	195.440990955924	47.5154281791616	FBgn0033683		protein_coding	36297
