baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionh2F14	ensembl	description	gene_biotype	entrezgene_id
FBgn0260000	240.796395426022	1.94259981306094	0.331582658869381	32.4882412660141	1.19915900197169e-08	1.28234117071606e-06	6.50608324501024	23.7276519917599	FBgn0260000		protein_coding	35410
FBgn0033602	137.042558815994	-5.34785138278804	0.827026756426946	32.2101877453727	1.38363345905759e-08	1.46111693276482e-06	8.63542983498033	0.209333263887998	FBgn0033602	Cuticular protein 47Ee	protein_coding	36193
FBgn0040349	757.964706957393	2.18603625080974	0.370356394593116	32.1030320241766	1.46208952208555e-08	1.52490522007145e-06	18.6871987963402	86.8363583951678	FBgn0040349		protein_coding	31046
FBgn0029799	143.529869356624	-2.72549220768126	0.460480896348664	31.9084099398526	1.61615911019685e-08	1.66503806865159e-06	12.4121999535136	1.71240619419408	FBgn0029799		protein_coding	31498
FBgn0283479	3712.57521381049	-2.15120370575292	0.366640927337805	31.6738407688021	1.82362092581602e-08	1.85613850377032e-06	206.321853793679	42.1616083728283	FBgn0283479	Alkaline phosphatase 1	protein_coding	40372
FBgn0032253	640.340901218004	-1.43096229712791	0.252606695186799	31.0124735665731	2.56375486314145e-08	2.57840489093083e-06	16.9913298210707	4.99138771669315	FBgn0032253	Lysosomal alpha-mannosidase I	protein_coding	34436
FBgn0025620	5597.68138791373	1.97486724014659	0.344832213716955	30.5420103075076	3.26714581730083e-08	3.24715857230088e-06	96.8415477316206	269.750832305837	FBgn0025620		protein_coding	31025
FBgn0033108	168.801687805558	-2.18339177292377	0.38320552321645	30.4397251894401	3.44402649966122e-08	3.3831553336207e-06	3.14540971358441	0.655053558146454	FBgn0033108		protein_coding	35595
FBgn0046689	259.717619567544	-3.14803771626051	0.531997613330686	30.327682506541	3.64881070632003e-08	3.54312101689559e-06	24.10380711783	1.7992952378689	FBgn0046689	Tak1-like 1	protein_coding	318725
FBgn0033296	64.2608864582259	-3.31913896649934	0.576090137564629	30.185702431506	3.9259301309143e-08	3.76889292567773e-06	4.08169341114626	0.231613582426175	FBgn0033296	Maltase A7	protein_coding	35829
FBgn0041194	1934.45100757731	-1.92230982351966	0.341924907009467	29.5734972497087	5.38360358459313e-08	5.1101891104093e-06	82.8646133724732	24.326628702556	FBgn0041194	Phosphoribosylamidotransferase 2	protein_coding	38753
FBgn0010358	143320.24663175	1.72474875122637	0.310420162606071	29.1915246801572	6.55653777563647e-08	6.07870817188162e-06	6556.6007174261	18371.1559959646	FBgn0010358	deltaTrypsin	protein_coding	48343
FBgn0035886	133858.548599372	1.85705424938332	0.332879005371042	29.1858053580468	6.57592026654145e-08	6.07870817188162e-06	5055.71799207669	15136.281423931	FBgn0035886	Jonah 66Ci	protein_coding	38952
FBti0061663	28.8771343867776	-5.31404217906875	1.00354479814937	29.1729180753913	6.61980530081805e-08	6.07870817188162e-06	5.79929829927663	0.110242436038933	FBti0061663		transposable_element	NA
FBgn0037730	642.39648247902	-2.07257755456606	0.370478656658689	29.1031498535753	6.86253198597689e-08	6.23383550726159e-06	30.0200298917962	7.31682551690775	FBgn0037730		protein_coding	41175
FBgn0259716	2146.49558493705	-2.16634801136079	0.386285253038947	28.928056493809	7.51169609888071e-08	6.75093708971747e-06	79.8269195653301	18.5678741926628	FBgn0259716	Neprilysin-like 6	protein_coding	33893
FBgn0010357	22763.4107665278	-3.41211869133667	0.579344089784779	28.7397497466002	8.27869338734121e-08	7.36193702486932e-06	3686.67507414499	288.724635446798	FBgn0010357	betaTrypsin	protein_coding	47901
FBgn0287423	5260.26635030734	3.11347368724004	0.541554000536786	28.1440922911423	1.12610879625025e-07	9.90975740700219e-06	159.129023896044	1591.55194798377	FBgn0287423	Neuropeptide-like precursor 2	protein_coding	50286
FBgn0042118	1274.379217325	5.95553042481318	0.924096716781033	27.345371487677	1.70171278522735e-07	1.4820690319176e-05	2.53426277104081	668.353173663593	FBgn0042118	Cuticular protein 65Ax2	protein_coding	59157
FBgn0039045	1465.67339768067	2.00757084421161	0.371971086498053	27.1158086838222	1.9162449443564e-07	1.65188135611458e-05	26.8202946489657	77.2392682388312	FBgn0039045	Cystinosin	protein_coding	42723
FBgn0000053	6328.06446024796	-2.55424061620405	0.463805128227603	27.055807267686	1.97665507206083e-07	1.68674566149191e-05	149.490846666863	24.8485159570627	FBgn0000053	GART trifunctional enzyme	protein_coding	33986
