baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh1M8	expressionko	ensembl	description	gene_biotype	entrezgene_id
FBgn0036648	186.766198430509	-2.02303574097411	0.260442010178112	58.0309513844591	2.58025908823566e-14	2.05550639691889e-12	4.44473466231031	15.3595490390799	FBgn0036648		protein_coding	39854
FBgn0033697	62.6650510457589	-2.96112684943453	0.389165441885946	57.9456919492272	2.69455014236224e-14	2.12188080750847e-12	0.451677583746683	3.62087060009837	FBgn0033697	Cytochrome P450 6t3	protein_coding	36318
FBgn0038079	120.419908993918	2.09508100062004	0.274145086392346	57.8308873036013	2.85648991698388e-14	2.22384232059734e-12	18.6772903937786	3.55063719349692	FBgn0038079	Ninjurin C	protein_coding	41568
FBgn0033968	1864.90699168214	-1.89737805355397	0.243166362903237	57.1287191991337	4.08201017814085e-14	3.14223053151044e-12	82.6568034271138	266.695246326398	FBgn0033968	hase und igel	protein_coding	36648
FBti0018869	541.805478783618	-2.24152290969358	0.285664974932615	56.9848551366793	4.39181046284529e-14	3.3431437201059e-12	1.48359862803719	6.92700588964258	FBti0018869		transposable_element	NA
FBgn0085390	584.627278319118	1.13235070901525	0.148941961342244	56.9066808878227	4.56990692422614e-14	3.44048707009596e-12	9.09196812218998	3.83853811214577	FBgn0085390	Diacyl glycerol kinase	protein_coding	35738
FBgn0033683	601.278538635841	-2.44652800078016	0.309488560273908	56.8719387132559	4.65135873172084e-14	3.46374550771951e-12	41.8630311117142	195.440990955924	FBgn0033683		protein_coding	36297
FBgn0050054	34.590576600656	4.63464754963069	0.669542500189055	56.6810374231257	5.12554365885838e-14	3.77581716202568e-12	4.36855042430717	0.11519246912329	FBgn0050054		protein_coding	246420
FBgn0032981	74.9822262252155	-2.97580167442561	0.394847965078845	54.9896212332602	1.21167977757169e-13	8.83108314483364e-12	0.720965632776999	5.43989468268405	FBgn0032981		protein_coding	35447
FBgn0038523	2601.98102759146	-2.75212272318967	0.349891278018202	54.4425803642861	1.60056879268908e-13	1.15426282091715e-11	91.0250656459195	642.012191756789	FBgn0038523		protein_coding	42113
FBgn0038412	956.935946081581	-1.92297888630799	0.253501559347833	54.0531400014613	1.95140017061899e-13	1.3926086009282e-11	10.166798964408	37.2088612113479	FBgn0038412	Zinc/iron regulated transporter-related protein 89B	protein_coding	41975
FBti0019621	984.528613620006	-1.66174901085877	0.222801053376175	53.086922371926	3.1910993662492e-13	2.25383729465704e-11	4.64893831149276	15.4405040408069	FBti0019621		transposable_element	NA
FBgn0032066	426.207119864956	-3.34402720449945	0.424262159611393	52.9429988445979	3.43369755394627e-13	2.40043489204958e-11	1.1869014188806	10.4774468806426	FBgn0032066	Lysosomal alpha-mannosidase III	protein_coding	34203
FBgn0037227	28.4577511145058	3.75973295957586	0.561385816518777	52.669837588404	3.94604956263338e-13	2.73074601551528e-11	3.37811175326962	0.171727757522193	FBgn0037227	TweedleV	protein_coding	40537
FBgn0263355	1105.94615444164	1.21641778211057	0.166195367231082	52.2782409335094	4.81682191930861e-13	3.30000469691833e-11	23.5714635771783	8.57246799052744	FBgn0263355		protein_coding	35314
FBgn0030040	4319.68904670114	1.15639397155375	0.158413827853231	51.9808984201078	5.60431809601025e-13	3.80150329463032e-11	430.328833283112	168.050091149059	FBgn0030040		protein_coding	31779
FBgn0024150	616.959726353151	1.72792052157285	0.237100812464938	50.6556400924308	1.10079657405294e-12	7.39368365572227e-11	7.65270114786374	2.25066032013337	FBgn0024150	Adenylyl cyclase 78C	protein_coding	40333
FBgn0262035	656.886591876843	-1.36766215451521	0.190096153975293	50.298214185404	1.3206967296783e-12	8.78455659711265e-11	55.7144439444558	135.839598555933	FBgn0262035		protein_coding	10178831
FBgn0032669	350.499404348059	-1.6683133853324	0.231618451236873	49.9436041577645	1.58228999496851e-12	1.04233353418551e-10	11.4067543766259	35.6466572323265	FBgn0032669		protein_coding	35087
FBgn0050104	939.875998017742	-2.18679634191653	0.298493821904651	49.5047632533252	1.97890667699676e-12	1.29118948991474e-10	10.3405210593463	39.3726558010495	FBgn0050104	Ecto-5'-nucleotidase 2	protein_coding	246458
FBgn0263743	24.812956450721	-6.19068094562266	1.15351334811965	49.3071204024666	2.18866620670811e-12	1.41458039454314e-10	0	4.0402469410183	FBgn0263743		protein_coding	14462617
FBgn0039108	70.9730247768833	2.28996582503425	0.328266057118318	48.3711930136959	3.52711649965879e-12	2.25834347094976e-10	3.67496302161068	0.694005741844218	FBgn0039108		protein_coding	42800
FBgn0260767	138.62157083869	2.13083202787491	0.299246288855276	48.2817665916671	3.69168977289579e-12	2.34183024389898e-10	9.32488746781294	2.00545910931813	FBgn0260767		protein_coding	37598
FBgn0029710	298.878531137961	1.34586076491844	0.192652641078715	47.8870609036987	4.51491426343194e-12	2.83776858887819e-10	16.7250504407123	5.20861698760164	FBgn0029710		protein_coding	31383
FBgn0036742	352.372820722519	1.26496856936401	0.183047008486873	46.9339566053184	7.34195469222954e-12	4.55224534203475e-10	16.3769343235871	6.06946384260596	FBgn0036742		protein_coding	39966
FBgn0037503	102.86975490003	-1.80363686150542	0.262038171672106	46.9250079922257	7.37555441491545e-12	4.55224534203475e-10	2.26184289784329	6.9028606303536	FBgn0037503		protein_coding	40893
FBgn0040582	27.0628345471312	-6.46355094730201	0.945360218679306	45.7496300555211	1.34374727677361e-11	8.21965410105002e-10	0.196303377849858	8.94329023298205	FBgn0040582	Bomanin Bicipital 3	protein_coding	50055
FBgn0052304	39.7516869982283	-3.54934538551728	0.531916369179935	45.676349997757	1.3949687169356e-11	8.4574607785184e-10	0.770442884379859	5.7140088684671	FBgn0052304	obstructor-I	protein_coding	317966
FBgn0062412	3240.30725897141	1.96402568293026	0.282622206099313	45.0426101032626	1.92793429982152e-11	1.1586208673752e-09	399.15028578	71.2962652995533	FBgn0062412	Copper transporter 1B	protein_coding	40989
FBgn0050052	221.430786845941	-1.27208971580873	0.188843943613042	44.892402007612	2.08164032396634e-11	1.24011459647769e-09	12.6222892246099	25.0279619671241	FBgn0050052	Odorant-binding protein 49a	protein_coding	36399
