baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2F14	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0016684	1013.43776053259	1.61920832650755	0.234980825118579	45.3918691467489	1.6130262414116e-11	1.6137943491456e-09	38.6353157871073	14.1630613243929	FBgn0016684	Na[+]-dependent inorganic phosphate cotransporter	protein_coding	36651
FBgn0003961	650.296626779708	3.3839425376025	0.467531759053876	44.0145882268526	3.25937555937365e-11	3.22256378835013e-09	49.392681998984	5.09396012118069	FBgn0003961	Urate oxidase	protein_coding	34060
FBgn0039592	27.9673277528724	-3.83865639319036	0.613570158387134	43.6791758987231	3.86866421044202e-11	3.780494654018e-09	0.19001317820547	2.67175225349667	FBgn0039592		protein_coding	43389
FBgn0050054	26.9472618591913	-5.03470042598736	0.852308911747132	43.017220843533	5.42601455841943e-11	5.24140532746631e-09	0.108791779733203	3.87687517612625	FBgn0050054		protein_coding	246420
FBgn0051148	757.573905715581	1.46632576985926	0.219914066232578	42.9235264994745	5.69219884595779e-11	5.43604989788969e-09	36.0281544896701	14.1475743742062	FBgn0051148	Glucocerebrosidase 1a	protein_coding	42796
FBgn0033170	527.69073898117	-1.5179397469889	0.23131231676329	41.6539264553351	1.08946371697356e-10	1.02874753679167e-08	25.766371381195	78.8682162610369	FBgn0033170	secretory Phospholipase A2	protein_coding	35665
FBgn0004431	2304.38094437145	2.8356797628517	0.413173351642551	41.1361222448115	1.41987828396642e-10	1.32585078871708e-08	583.04811438038	69.8540340448054	FBgn0004431	Lysozyme X	protein_coding	38122
FBgn0050488	19.3321006065055	5.95208845701929	1.17609848839993	40.7111875436758	1.76473940412486e-10	1.62976592882036e-08	2.42733201553912	0	FBgn0050488	antares	protein_coding	246647
FBgn0038056	200.183662675055	1.52095081568528	0.235508379648322	40.6839930763292	1.78947032806002e-10	1.63464224315395e-08	10.5651564373871	4.18054840574729	FBgn0038056		protein_coding	41541
FBgn0261575	127.769965510063	-3.95068369453211	0.571854385593187	40.4983107431919	1.96786104447893e-10	1.77826927073128e-08	0.381943585222432	4.59958845596854	FBgn0261575	target of brain insulin	protein_coding	43072
FBgn0037817	413.645446843745	1.99379023020985	0.305925858187926	39.872011418628	2.71161078075561e-10	2.42429542568832e-08	20.0150367968538	6.71314023679337	FBgn0037817	Cytochrome P450 12e1	protein_coding	41272
FBgn0030836	8902.52939290955	-1.23369490607376	0.192932347720023	39.711388991192	2.94403687580703e-10	2.60438798992445e-08	508.23627656375	1441.85115707385	FBgn0030836		protein_coding	32719
FBgn0032049	1733.88270759976	2.41014307922245	0.364532124328481	39.5272879815514	3.23507101505339e-10	2.83203508442799e-08	153.340841269022	27.5723527306895	FBgn0032049	beta-site APP-cleaving enzyme	protein_coding	34182
FBgn0038301	412.749418516214	-1.36328393923224	0.214164607887257	39.3942997220295	3.46306435650677e-10	3.00037039712195e-08	5.21485085856429	15.8229374710604	FBgn0038301		protein_coding	41831
FBti0060280	124.237097441136	3.59379279034764	0.535880395800657	38.8913474993753	4.48062193203943e-10	3.84236190988361e-08	2.63670698053706	0.283255021480329	FBti0060280		transposable_element	NA
FBgn0263830	302.050177128617	1.02721172805945	0.164865754319647	38.4929262147164	5.49525005106898e-10	4.66485671001855e-08	26.841554440118	14.915095772253	FBgn0263830		protein_coding	3355162
FBgn0038079	285.486157952218	3.16282371200532	0.475458305641188	38.3526725903916	5.90471673932251e-10	4.96232394772664e-08	46.4356397084096	5.85534805072497	FBgn0038079	Ninjurin C	protein_coding	41568
FBgn0031560	522.238650435028	2.91177465242446	0.44274690664894	37.813470563788	7.78424070681795e-10	6.47710484159387e-08	354.050728942387	71.6043048628556	FBgn0031560		protein_coding	33591
FBgn0033302	190.478760131275	-1.84150642170785	0.293896435822795	37.738762352324	8.08813106921866e-10	6.66398563781506e-08	2.65522999254664	10.3314166699187	FBgn0033302	Cytochrome P450 6a14	protein_coding	35835
FBgn0031561	877.747971089913	2.571449986743	0.398017905678215	37.3663972685592	9.78943473625863e-10	7.9874184003415e-08	487.866325327541	91.2802824496595	FBgn0031561	Immune induced molecule 33	protein_coding	33592
FBgn0063495	57.8668655115291	3.36427836764583	0.536641371407069	36.433499962983	1.57964721311459e-09	1.27647645952068e-07	8.1442982492957	1.08526629092971	FBgn0063495	Glutathione S transferase E5	protein_coding	37110
FBgn0034428	422.798962180588	1.99651159636326	0.320880277182323	36.3217980959684	1.67282378764385e-09	1.33889629631989e-07	39.6786711296922	12.3529168972039	FBgn0034428	Arylalkylamine N-acetyltransferase-like 6	protein_coding	37212
FBgn0050289	180.68202712966	1.47014512379037	0.241336271768364	36.3003834280503	1.6913058648906e-09	1.34091834797553e-07	13.6126145548567	5.76308385210193	FBgn0050289		protein_coding	246532
FBgn0028534	9229.14633813385	1.66360419459965	0.270459803724949	35.9221403097235	2.05361829424662e-09	1.61295403222884e-07	926.913004757051	313.750973354673	FBgn0028534		protein_coding	34800
FBgn0052405	658.627078548799	3.82321831968673	0.573193537205382	35.8916428134311	2.08601548596941e-09	1.62322908741546e-07	103.202267643643	13.0239263582155	FBgn0052405	Cuticular protein 65Av	protein_coding	318014
FBgn0051354	519.62744611609	3.63781439706032	0.555283796620725	35.2954543929647	2.83292484695951e-09	2.18421104714199e-07	20.8681929160653	1.37128203373278	FBgn0051354	Heat shock protein 70 Bbb	protein_coding	50022
FBgn0052212	258.130309519321	3.10976230494585	0.488837171645472	35.1562487817701	3.04283450677769e-09	2.30378208963601e-07	29.9676579795325	5.16768785093739	FBgn0052212		protein_coding	317917
FBgn0016123	1100.71218924219	-1.24361989405651	0.208008930216928	34.7812030470299	3.68918207187222e-09	2.76820411892984e-07	14.6042003310489	44.6440114245982	FBgn0016123	Alkaline phosphatase 4	protein_coding	43671
FBgn0003082	541.909152266552	-1.37060238088144	0.228930210717027	34.7443576340824	3.75966775503496e-09	2.79612812507202e-07	9.49348572505138	27.2691437616657	FBgn0003082	photorepair	protein_coding	35735
FBgn0033153	1014.40759370626	-1.36519262894577	0.228136572328576	34.6629559641198	3.92020810813631e-09	2.88994990708575e-07	19.4045302097772	64.3732121777727	FBgn0033153	Growth arrest and DNA damage-inducible 45	protein_coding	35646
FBgn0035859	329.762481735394	2.50425167978522	0.405752578083588	34.5575973303395	4.1382323685498e-09	3.02414824567761e-07	75.3759803283701	17.4097275103761	FBgn0035859		protein_coding	38922
FBgn0037683	1040.93296071894	1.30720694973684	0.219308496707596	34.4941986420157	4.27523649256158e-09	3.09733512788685e-07	70.8424282576523	28.1853624395522	FBgn0037683		protein_coding	41116
FBgn0033327	1562.73861683771	4.1017653017261	0.6212141669807	34.0437019155586	5.38880492528756e-09	3.87072791385613e-07	424.74389708547	25.9725370972291	FBgn0033327	Peptidoglycan recognition protein SC1b	protein_coding	35861
FBgn0033683	353.970161191729	1.39172059941772	0.236290220234605	33.7123856712499	6.38925857504908e-09	4.5504516156536e-07	100.637864458291	47.5154281791616	FBgn0033683		protein_coding	36297
FBgn0039356	66.6339183915334	-2.2038364729833	0.376481368636051	33.5550921503252	6.92737790301746e-09	4.89224234428225e-07	2.49896734429928	12.6374339174193	FBgn0039356		protein_coding	43100
FBgn0052054	116.811977540763	2.13383386183114	0.361845904242366	33.0782817797574	8.85220037272629e-09	6.19949099436598e-07	5.74209389491093	1.47327864403938	FBgn0052054		protein_coding	326185
FBgn0085205	538.237290917969	1.12402317386764	0.193701548909332	33.0208435183084	9.11761387867692e-09	6.3325972757356e-07	201.023576148091	110.8968200564	FBgn0085205		protein_coding	5740391
FBgn0052284	136.588682253784	2.33677223731852	0.394466966072568	32.726764077309	1.06066663624651e-08	7.30642820575056e-07	42.6177295186386	11.1063756931639	FBgn0052284		protein_coding	317956
FBgn0037222	309.271102724121	-1.72396317896395	0.295694721032281	32.3858509253804	1.264034966293e-08	8.56689504574706e-07	5.99610167722559	22.897742300724	FBgn0037222		protein_coding	40532
FBgn0033788	2790.28452191247	1.49802155097233	0.257940482705811	32.3488260686758	1.28835019216646e-08	8.66183601197354e-07	620.005942335012	265.421089769901	FBgn0033788		protein_coding	36433
FBgn0001285	5280.32043726643	2.82226882278809	0.465235628201287	32.1243216763839	1.44615498411555e-08	9.64562419564052e-07	666.057873723151	112.516542758433	FBgn0001285	Jonah 44E	protein_coding	35853
FBgn0038484	1392.04279961815	1.42563287453469	0.247935283593281	31.8629535437337	1.65442654568291e-08	1.08623442889993e-06	98.2492497589422	48.3040266150195	FBgn0038484		protein_coding	42072
FBti0019199	57.2181266181286	-9.14603281462433	1.54595699500051	31.8777429503933	1.64187751224359e-08	1.08623442889993e-06	0	2.18168753410472	FBti0019199		transposable_element	NA
FBgn0032925	555.896684703015	1.09895476902407	0.193768924304066	31.5619154673299	1.93181348792492e-08	1.25852407383884e-06	16.8288362317702	8.49443335307715	FBgn0032925		protein_coding	35386
FBgn0033887	73.219790424825	2.82466889199347	0.485496510422871	31.3127996011658	2.19626886729598e-08	1.41710976508418e-06	5.71930955001543	0.991361810471042	FBgn0033887	Sulfotransferase 4	protein_coding	36548
FBgn0052751	278.835732771966	-3.43250029623319	0.564771618191296	31.3016093463908	2.20896453148534e-08	1.41710976508418e-06	1.24906289691313	13.6370121450476	FBgn0052751		protein_coding	318189
FBgn0262570	407.794109698708	1.55729955718605	0.274718328460079	30.9033672820839	2.71200818607345e-08	1.7266452118001e-06	14.9089076444079	5.5289898873442	FBgn0262570		protein_coding	12798330
FBgn0037807	116.364427301906	2.34594531150237	0.409562082677971	30.7343187483582	2.95885336492543e-08	1.86963937434837e-06	4.356940392856	0.85408043768163	FBgn0037807		protein_coding	41259
FBgn0030073	4375.56995317788	1.9097547651969	0.33347772552251	30.6719832728294	3.05545136105291e-08	1.91626964464841e-06	336.890620424537	121.508454745843	FBgn0030073		protein_coding	31824
FBgn0051281	55.1921959546064	5.16971963900412	0.871144364144559	30.3631042144371	3.5827838222992e-08	2.23034927722982e-06	2.66829456488483	0.0801245865693241	FBgn0051281	Transition protein-like 94D	protein_coding	318658
