baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2F14	expressionko	ensembl	description	gene_biotype	entrezgene_id
FBti0060280	102.904716602612	5.2492738588581	0.735117141922254	42.4582893496942	7.22057435068833e-11	7.62710257782982e-09	2.63670698053706	0.045971037361249	FBti0060280		transposable_element	NA
FBgn0035667	25057.1839690206	-1.36400981305306	0.207924861576838	41.5282509951699	1.16179817798989e-10	1.21062510141622e-08	1158.36329105909	2136.18562011996	FBgn0035667	Jonah 65Ai	protein_coding	38685
FBgn0004431	1815.75105669028	5.29958776588674	0.69066499047115	41.255341175895	1.33586320670445e-10	1.3734454915864e-08	583.04811438038	10.5374770725654	FBgn0004431	Lysozyme X	protein_coding	38122
FBgn0053093	47.16469604744	3.6218748229402	0.556242058266964	41.2289809587109	1.35400040318556e-10	1.37377593538998e-08	5.36889791191236	0.290497365044896	FBgn0053093		protein_coding	42654
FBgn0039310	74.7447409429863	2.90188095474122	0.445919690373179	40.172980142948	2.32441041411227e-10	2.32773100041815e-08	5.74275407188112	0.63997457270771	FBgn0039310		protein_coding	43050
FBgn0053966	232.080076774019	-1.54449656433985	0.240311282939416	40.111568409812	2.39864294562754e-10	2.37127381458127e-08	6.41929274485515	15.1044090598814	FBgn0053966		protein_coding	3885642
FBti0019609	110.809960385494	-4.63932738347166	0.670482197964265	39.3245500157728	3.58900349867265e-10	3.50313999724871e-08	0.248614035161326	7.5651906831009	FBti0019609		transposable_element	NA
FBgn0040349	724.093258023153	-2.14177437652415	0.32946465791229	39.1069174619054	4.01219892026185e-10	3.86725823426739e-08	18.6871987963402	83.7855436216287	FBgn0040349		protein_coding	31046
FBgn0034356	3842.9433797123	1.67595661349983	0.261748985861442	38.9187646690358	4.41813234467716e-10	4.20595290244513e-08	138.214901284339	36.1193287925507	FBgn0034356	Phosphoenolpyruvate carboxykinase 2	protein_coding	37130
FBgn0052198	3434.59579069105	-2.42894002113338	0.370553892469788	38.743510531773	4.83314397298866e-10	4.54492355801409e-08	202.281411199478	1015.61625378007	FBgn0052198		protein_coding	317909
FBgn0029799	139.060823099975	3.61781342294299	0.538899295291229	38.5445261800598	5.35186591843576e-10	4.97207687916363e-08	12.4121999535136	0.508828023872602	FBgn0029799		protein_coding	31498
FBgn0002571	1666.00664490462	-4.79390523387514	0.66370744806087	38.3054369667097	6.04938651654011e-10	5.5277686041012e-08	4.76817600669676	91.7512903070364	FBgn0002571	Maltase A3	protein_coding	35826
FBgn0038873	389.39180830081	-3.02128840160294	0.455892569013297	38.2912977093458	6.09337740044873e-10	5.5277686041012e-08	1.78625872382326	16.1558750414389	FBgn0038873		protein_coding	42522
FBgn0038412	1017.14775557642	-1.81824457611769	0.286135963918423	38.138300811307	6.59037046357184e-10	5.90911007495377e-08	13.1102980530878	37.2088612113479	FBgn0038412	Zinc/iron regulated transporter-related protein 89B	protein_coding	41975
FBgn0031940	819.484739992378	-1.98381238416909	0.312929122603521	37.5795456104338	8.77599595835392e-10	7.77835687757093e-08	20.6228775538721	64.0992777632922	FBgn0031940		protein_coding	34053
FBgn0040793	1511.78343292375	-1.33987392028036	0.216883183636924	36.9368619120748	1.22017121051612e-09	1.06917502321475e-07	247.368251391783	561.119636964835	FBgn0040793		protein_coding	50266
FBgn0052819	39.9020094258081	3.91170833858805	0.64078143240043	36.7658466684547	1.33203461283944e-09	1.14976262362864e-07	2.23570061258103	0.102999648844988	FBgn0052819		protein_coding	318227
FBgn0052820	39.8984472070653	3.91127688249997	0.640824506926911	36.7513721680713	1.34196130367757e-09	1.14976262362864e-07	2.23570061258103	0.102999648844988	FBgn0052820		protein_coding	318228
FBgn0030956	189.865933892379	1.58989931045595	0.258831254928113	36.6957103093236	1.38082952317205e-09	1.17006334650326e-07	8.31046773387793	1.98341122130848	FBgn0030956		protein_coding	32866
FBgn0262983	56.7714893915626	4.12537315008611	0.64782955305597	35.1201199994191	3.09981421156331e-09	2.59811602014834e-07	5.21177936302722	0.322079329437031	FBgn0262983		protein_coding	12797901
FBgn0038079	233.932631847983	3.14812648977896	0.498986670176192	34.8144211816012	3.62677041158876e-09	3.00709963911408e-07	46.4356397084096	3.55063719349692	FBgn0038079	Ninjurin C	protein_coding	41568
FBgn0260000	197.259420210098	-1.60333084769538	0.26781220439074	34.6955376799723	3.85514249674911e-09	3.16244721196089e-07	6.50608324501024	18.4408402435565	FBgn0260000		protein_coding	35410
FBgn0039309	632.469895000245	2.97475613470358	0.473947269664614	34.1813653008331	5.02074380398859e-09	4.07525847079537e-07	43.8243927882569	4.90826546759149	FBgn0039309		protein_coding	3772439
FBgn0051380	51.2871791669865	-4.39978843387484	0.714041573158506	34.135275263392	5.14107938694083e-09	4.12946491173966e-07	0.137301848190184	3.49189571258547	FBgn0051380		protein_coding	318701
FBgn0034160	640.131223389879	2.5528140322134	0.414937181441549	34.0324442017833	5.4200732592576e-09	4.30867885589024e-07	78.3070689267148	8.65167055502933	FBgn0034160		protein_coding	36883
FBgn0020644	58504.7040721895	-2.34390583696458	0.384535139910999	33.6701391088687	6.52953565031168e-09	5.1376785101585e-07	6018.05351123316	24138.0702767402	FBgn0020644	Lcp65Ab1	protein_coding	48382
FBgn0031692	531.127798139284	-2.27883315609491	0.376670003289354	33.591733579898	6.79810211064326e-09	5.29496619951214e-07	17.6400913235904	102.51193791375	FBgn0031692	Troponin C at 25D	protein_coding	33752
FBgn0025814	2113.92221594166	-2.23719004991812	0.369488663903939	33.5622534470267	6.90191977985845e-09	5.32207034224885e-07	84.2101498161535	403.522180870705	FBgn0025814	Microsomal glutathione S-transferase-like	protein_coding	44110
FBgn0027584	53.1313858613485	-3.0359720278541	0.511570304205025	33.3641429693069	7.64200417672269e-09	5.83440536700086e-07	0.441177413990009	2.74533329524435	FBgn0027584		protein_coding	41330
FBgn0052475	171.056777779382	2.05435904795152	0.348967458150533	32.8483075984718	9.96377789179539e-09	7.53242071800335e-07	4.97688039911023	1.10468394655818	FBgn0052475	methuselah-like 8	protein_coding	38013
FBgn0034710	87.4657700847924	-3.79865151174811	0.629621944116871	31.8034191270793	1.70592173015408e-08	1.2771225690503e-06	0.520286505263546	3.8444803713957	FBgn0034710	Alkaline phosphatase 7	protein_coding	37538
FBgn0019624	5164.90101751923	-1.34455308596894	0.234787977051251	31.6924304956595	1.80624831159746e-08	1.33922891641616e-06	365.509451822658	767.881806465419	FBgn0019624	Cytochrome c oxidase subunit 5A	protein_coding	41432
FBgn0263999	52.8196759266034	-4.36755782709201	0.733879829304081	31.639402437145	1.8562479578155e-08	1.36319314311574e-06	0.163938290015164	4.38039765077913	FBgn0263999		protein_coding	14462622
FBgn0035780	323.413314933112	-1.76977689628679	0.308210022315535	31.4684575140311	2.02706518806524e-08	1.47459430803501e-06	6.37132853568446	15.4155706974625	FBgn0035780		protein_coding	38829
FBgn0014368	714.904229612048	-4.08788579523157	0.648386807923966	31.3236468563514	2.18403211503422e-08	1.5739319288812e-06	14.2506955500622	73.1419870978261	FBgn0014368	no optic lobe	protein_coding	64867
