baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0035779	907.519283287437	2.50797944675226	0.295255851756036	65.1000924935552	7.11887319223472e-16	8.4925149208772e-14	48.1575268020654	12.4191357995572	FBgn0035779		protein_coding	38828
FBgn0031561	1996.6126660694	3.94196465394507	0.437950441875956	64.3313368139158	1.05159804445167e-15	1.23708825507023e-13	968.70534069685	91.2802824496595	FBgn0031561	Immune induced molecule 33	protein_coding	33592
FBgn0013278	677.615444321429	4.53129845798218	0.496311754868513	63.8034249609825	1.37474366318936e-15	1.59507929139916e-13	19.1778919557417	1.14254662600579	FBgn0013278	Heat shock protein 70 Bb	protein_coding	48582
FBgn0039519	115.187129061659	4.8365933843358	0.564572094501356	63.378621054429	1.70559111794878e-15	1.92618090253682e-13	4.3764646596902	0.132147133631083	FBgn0039519	Cytochrome P450 6a18	protein_coding	43304
FBti0018967	2009.96658427363	6.68083665825678	0.663199972406767	63.3859062533479	1.69929483585461e-15	1.92618090253682e-13	15.5014533203364	0.375700522311491	FBti0018967		transposable_element	NA
FBgn0051266	1291.9070741935	2.32703061962456	0.280122916652798	62.9524439750015	2.1175813609399e-15	2.35998870094223e-13	111.946331136806	31.4222215357616	FBgn0051266		protein_coding	42071
FBgn0033518	110.338340275065	3.26490351227795	0.394714243396172	62.7339285321046	2.36604430246559e-15	2.60264873271215e-13	13.7765898837714	1.74576621682634	FBgn0033518	Peroxiredoxin 2540-2	protein_coding	36098
FBgn0038132	101.865422897635	5.31839218575243	0.629370866471799	61.9517783768804	3.51971791270781e-15	3.82205265649169e-13	9.8846942318177	0.323965979733039	FBgn0038132	apnoia	protein_coding	41631
FBgn0030776	3490.63072694962	2.31250745146761	0.281104531638986	61.5938673490783	4.22131364429828e-15	4.52588943888689e-13	308.957769323533	97.6211788267304	FBgn0030776		protein_coding	32650
FBgn0034052	3245.54503854027	2.06929974457215	0.254420485124377	61.2811211452111	4.94802198105276e-15	5.23871827243961e-13	350.476931321857	116.020855948483	FBgn0034052		protein_coding	36751
FBgn0034479	361.616189874273	2.32219229207631	0.286214453325024	60.8714560638515	6.09258458336673e-15	6.37088782976743e-13	10.888012530915	3.47255203847391	FBgn0034479		protein_coding	37275
FBgn0086687	16807.4422295294	2.21096664008216	0.27255253514443	60.2466929906198	8.36833116401239e-15	8.64387377551036e-13	572.032806791227	182.330831104093	FBgn0086687	Desaturase 1	protein_coding	117369
FBgn0025620	5964.2872566517	2.50960645767394	0.306114694124928	60.2040842414064	8.55145739850046e-15	8.7266077307589e-13	269.750832305837	70.9633433071715	FBgn0025620		protein_coding	31025
FBgn0001128	7630.63486936856	2.41750112497407	0.29702026734768	59.747938625733	1.07818041923908e-14	1.08716525606607e-12	364.691769239112	81.4098555125883	FBgn0001128	Glycerol-3-phosphate dehydrogenase 1	protein_coding	33824
FBgn0259715	496.40242798727	2.51492119801583	0.310453412090203	59.5134213021482	1.21462924908898e-14	1.21034232232749e-12	30.7084614801544	6.11103312559818	FBgn0259715		protein_coding	33894
FBgn0037850	146.188756522662	2.71405113606887	0.340630795402101	58.810109149963	1.73646807255972e-14	1.71021913657917e-12	11.3661495852827	2.23767667831082	FBgn0037850		protein_coding	41314
FBgn0029608	323.865747279128	2.39161667429423	0.300140348284975	58.5386175757489	1.99339590785888e-14	1.94069693558215e-12	20.721331395946	5.79876304292946	FBgn0029608		protein_coding	31210
FBgn0034819	2632.2863516716	-3.01352169521788	0.368991221785301	57.4409964598435	3.48271808395511e-14	3.32862447343741e-12	179.093735917611	1647.90064348921	FBgn0034819		protein_coding	37666
FBgn0035667	37922.3289884419	1.94278446713383	0.247570805727836	57.432604143399	3.49761013147497e-14	3.32862447343741e-12	3406.22903500013	1362.78525985312	FBgn0035667	Jonah 65Ai	protein_coding	38685
FBgn0004577	4207.73968813909	-1.84653241870032	0.236267618196739	57.4031271408974	3.55042337342044e-14	3.34134288587457e-12	31.7846200146742	167.401661442439	FBgn0004577	Peroxidase	protein_coding	2768671
FBgn0038700	762.36089525865	2.72894438086326	0.340940238943891	56.8654432302679	4.66674756719088e-14	4.34366504330843e-12	34.8193107803927	8.96964749238075	FBgn0038700		protein_coding	42318
FBgn0037912	2901.38719688726	2.03751034787189	0.261025924550939	56.5653542789459	5.43612470091934e-14	5.00478002356378e-12	164.548256109482	56.9032661675181	FBgn0037912	scheggia	protein_coding	3772221
FBgn0032436	86.8750969098842	4.69200556750375	0.587140031834696	56.1211601780088	6.81398048404322e-14	6.2058510429942e-12	6.86851637566143	0.31519740530298	FBgn0032436		protein_coding	34663
FBgn0033423	5159.2668735662	1.91676912283142	0.247837699363818	55.9332969093919	7.49719922911925e-14	6.75545505006809e-12	235.332101735101	82.5354484426362	FBgn0033423	Alkaline phosphatase 6	protein_coding	35981
