	h1M8_1	h1M8_2	h1M8_3	h2F14_1	h2F14_2	h2F14_3	h2M8_1	h2M8_2	h2M8_3	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
FBgn0000221	6.12354249308105	5.09249316334238	4.11226563179719	5.33608589744053	4.98376511490414	4.77899829884829	5.34023928793231	3.76379889263229	4.51108098787195	3.1915457501492	4.78598227852288	5.30613414377922	4.93364960832018	7.04295611056151	8.28956176549013
FBgn0000227	0	0	0	0	0	0	0	0.0359730926800419	0.0500728195716338	0	0	0	0	0	0
FBgn0000228	11.8845301950823	8.17898392013251	11.1864919066862	10.8960667195333	11.9629220771292	5.37957033988919	7.25992286289099	3.63022387619179	7.93189074714644	7.65455335835173	8.20509905595173	6.51559907601419	11.4455057154245	14.5338700741193	14.1998804789706
FBgn0000229	15.7698780071514	10.7305730918795	15.38854936979	13.2695530732379	18.7651809431436	28.9621139515792	10.4874669016704	17.981472348945	10.1240764696742	15.6176347939489	19.3514580202218	9.85307665858651	18.5963153095736	20.1674822422562	13.0665800251923
FBgn0000233	1.33611110661406	1.26429522039498	1.64885610862163	1.54572425444679	1.82310210720086	0.998374035317603	1.19634680479273	0.279435846867882	1.24287184042274	0.625480546666269	1.01942459773638	0.84008887600789	1.81854330835141	1.89079524438904	2.65531716407511
FBgn0000239	29.3949315293081	22.2056217527586	29.9307109351807	37.1762384813695	41.5222684748619	30.1369282662401	26.1930139838416	22.485096028412	24.6373488644157	30.3598743594717	27.9777759957342	25.939747129448	38.3969495873803	44.6755973515522	37.6959447324053
FBgn0000241	7.80423538342967	1.54807776130792	7.23414869815438	4.68227022138539	11.7640875277082	9.4312092744877	7.18779742165445	0.442005561304632	0.790619484333126	2.7389063333816	12.6647710553141	3.15606598243148	28.33969672971	16.0286030731587	20.8106138579001
FBgn0000244	24.4328566342536	25.2066976048759	25.9080259354795	32.4800558674111	29.8127829162664	16.4864601980557	25.6549475719912	17.6282584994027	29.8448346787286	23.3297079516178	18.4465894767611	21.1386318941867	24.4232755506287	26.9975227193634	22.808783790743
FBgn0000246	0.538478859353694	0.250727982306509	0.419190645201911	0.232723390241071	0.402391930332884	1.14326776056093	0.426542479743917	0.842383299554328	0.379217183861898	0.278575723417134	0.474352311104086	0.217571603776502	0.589717036361366	0.382033833605079	0.125695192126157
FBgn0000247	9.62764750062891	7.12419047020966	9.2741222081476	10.6571552548622	9.83141465639181	2.25131699303919	8.05589579555227	3.07677055744515	7.60987385945453	6.84448349259199	7.7238337666134	3.77974142369585	9.00513474287602	9.49611088089631	9.52418785104737
FBgn0000250	64.6321354481376	44.3124153326443	70.3336288179776	60.4262706872228	74.2720600395641	53.9947554339192	47.0168618246644	20.3937931388738	43.0477869375011	54.7634233548847	69.070070353014	49.8734814262675	64.9043417971471	64.0362321026606	95.1812144575229
FBgn0000251	14.2551037218729	15.8030451134236	13.8760073007219	15.4963498693298	16.3975055783931	12.6374365175418	24.7587612838894	9.95266155838714	19.6672039833108	12.2667722693056	16.553387639315	10.397691326596	17.8300730833512	16.1559461472342	18.6408493527757
FBgn0000253	387.583852431831	347.361417657543	404.788811169877	300.796610508846	309.470153586951	353.084187046929	301.243480290801	289.800797451712	318.71964999521	328.735046797718	344.839849899371	283.9363925691	283.800364084274	373.337510526787	306.329568958066
FBgn0000256	25.320471375719	16.0783260341948	20.7578211078021	25.4155009407379	27.2180590156369	12.9112769011817	23.0388213406457	10.0394099418607	16.4194725833264	14.9796571744221	15.4164281763444	10.6835575294646	21.8577490990253	22.6237116311681	19.9118784164895
FBgn0000257	7.93154911488518	8.5686083466466	9.02281651904153	9.20607431097492	9.33933005230639	5.07195965881292	8.49891084040275	6.47391345689749	9.02491671904447	5.99620182878766	7.14704867448423	7.01126354126233	8.96640629826248	9.38489429237398	8.77339058778342
FBgn0000259	49.3749476089369	37.6940269805031	45.3484402037579	47.5484945756596	54.518986413528	44.3468546616757	39.1964697677558	59.794775461665	39.4106316677855	43.486865526326	46.9955249995656	43.1181297745176	52.7088026560056	53.3337743956663	58.405714268952
FBgn0000261	300.848683592917	265.268292591595	363.203460369166	462.501968958873	388.553663860746	246.981772378269	283.064632060166	213.926983665641	361.552981818944	517.434367525313	353.78500288985	466.262516281058	459.420924426406	446.462021745301	548.900654514677
FBgn0000273	22.3653943689539	19.5391532356506	26.5678825125811	33.8579904675527	29.3342715202903	19.3237324605935	19.8860070796402	12.9480267450137	20.6450896634253	24.4600753036225	23.5892228674195	19.3311558451165	22.9419831891376	28.6770180554024	20.3007599156106
FBgn0000274	2.93007203294614	1.59360063475938	1.42916359716922	2.41709247561083	1.2329986336095	4.2029678205299	8.26868177897644	2.99510936811429	2.86282311956878	1.14774861903704	2.53664083795506	1.03445610348535	6.37059161708493	2.8043027218335	2.08263088544579
FBgn0000276	1.54340331148648	1.29721518573653	6.19443402216919	3.73051588083564	19.0951038777005	34.3840369650956	0.38602232167849	8.17800228121755	2.67641784088708	12.5999935407512	14.9662586165863	8.63754491893983	1.41885014197453	0.531301944566728	31.4118042478976
FBgn0000277	1.34026873406244	0	0	4.16958641474969	10.4503965550827	11.7862388805314	0	0.786248697670928	0	0	0.834491135483991	0	0	0	0.806562013199871
FBgn0000278	1.38563230908308	0	0.287108916394803	0.875194762681529	2.67626538389766	1.7082994775506	0.866336262258475	1.64525144470555	0.29537907453645	5.15472671055525	2.0117468458222	3.0839984505426	0	2.25333297745962	7.71304261808165
FBgn0000279	3.87274474009527	3.61127227952493	4.3230441152614	5.88581038186728	8.78754841057064	35.9988838277847	1.62598360799197	6.09727983415137	1.48751580587627	25.2013300757596	9.75818164216301	19.557881768361	7.64877147534968	1.44296229434982	44.806103305343
