baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0038271	6541.96482525732	1.45136203763942	0.156619045971229	88.0940860176345	6.24139565562418e-21	7.28946378325042e-19	314.641890835358	154.514293748727	FBgn0038271	Ubiquinol-cytochrome c reductase core protein 1	protein_coding	41800
FBgn0038700	560.128747592569	2.42110995227591	0.259046353536901	87.8088395773212	7.20960176579395e-21	8.31230111279295e-19	33.0503502970378	8.96964749238075	FBgn0038700		protein_coding	42318
FBti0018967	754.281772241793	5.52749724067173	0.538390604076802	87.2460305768607	9.58274113972601e-21	1.09085558315894e-18	14.6576130560114	0.375700522311491	FBti0018967		transposable_element	NA
FBgn0037354	1425.42132842619	1.71465962726877	0.186000289524888	86.8610354585467	1.16420598740985e-20	1.3087130555971e-18	125.420959508684	54.0312233229751	FBgn0037354		protein_coding	40690
FBgn0033395	51.7799271936046	7.78120252879527	1.15647444134365	86.1188600535345	1.69439142324396e-20	1.88119284805345e-18	3.27114561996985	0.0282951487484123	FBgn0033395	Cytochrome P450 4p2	protein_coding	35946
FBgn0014903	1033.96819697485	2.71527577485385	0.291041790634943	86.0739855372872	1.73328034941855e-20	1.90090124174647e-18	73.7987101342733	16.2832302699318	FBgn0014903		protein_coding	44620
FBgn0050031	6356.27944972782	1.93646508806493	0.210893340337334	85.707904408002	2.08577493743677e-20	2.25992457980347e-18	793.138346666512	269.506806455844	FBgn0050031		protein_coding	246404
FBgn0033729	1948.27253956255	3.41227440797882	0.359581124103799	85.4461827092842	2.3809430657468e-20	2.5490263083644e-18	569.161549890737	88.0359931638195	FBgn0033729	Cuticular protein 49Af	protein_coding	36352
FBgn0033423	4885.45039838756	2.01365432784447	0.220928562715747	84.2659450126538	4.32501214990689e-20	4.57586285460149e-18	242.980732138596	82.5354484426362	FBgn0033423	Alkaline phosphatase 6	protein_coding	35981
FBgn0052571	1713.78122214499	2.22897976098329	0.244133652759333	84.0241188290372	4.88775314023441e-20	5.11111209187536e-18	113.181899936943	31.8707312286259	FBgn0052571	TweedleX	protein_coding	318094
FBgn0036108	146.422283288915	-4.33929064726886	0.470411389649074	83.6940335142861	5.7759290084359e-20	5.97045167504184e-18	1.48289771696886	40.0411785750551	FBgn0036108	Cuticular protein 67Fa1	protein_coding	39223
FBgn0037912	2431.88353060127	1.90280535888414	0.210856111173797	82.8725261377297	8.75191861210402e-20	8.94386409984675e-18	154.717017439168	56.9032661675181	FBgn0037912	scheggia	protein_coding	3772221
FBgn0021906	2333.75610102312	1.61164299820414	0.179209281083025	82.8197487678466	8.98874190550804e-20	9.0826692085656e-18	249.014781531089	110.689456719694	FBgn0021906	Rieske iron-sulfur protein	protein_coding	44390
FBgn0052198	3653.73175147972	2.50509594573785	0.275077563265889	82.598853989258	1.0051532976599e-19	1.00437151176172e-17	1235.9255849332	257.43570855312	FBgn0052198		protein_coding	317909
FBgn0031561	1267.23413172683	3.45580176814263	0.371007112367869	82.2420236426545	1.20402527422996e-19	1.18986805397254e-17	912.030148360023	91.2802824496595	FBgn0031561	Immune induced molecule 33	protein_coding	33592
FBgn0019644	4567.6320649183	1.25324839271241	0.140167029725138	82.0992145919697	1.29424029110583e-19	1.26511988455595e-17	411.103123273032	231.826176694861	FBgn0019644	ATP synthase, subunit B	protein_coding	39143
FBgn0027586	502.947115537237	1.87952717996018	0.21043626905996	81.4186582671565	1.8262559440628e-19	1.76596986074804e-17	44.0061945599452	16.3893296284695	FBgn0027586		protein_coding	34728
FBgn0250814	4287.84331817077	1.39046971123928	0.156224146526783	81.3172273920931	1.9224342203978e-19	1.83919690894016e-17	209.979098987982	103.920813432662	FBgn0250814	Ubiquinol-cytochrome c reductase core protein 2	protein_coding	39846
FBgn0010294	213.993352018022	3.23378043341855	0.356575934140752	80.8894751121297	2.38701608081245e-19	2.25962480155225e-17	59.310183050856	9.65764683564266	FBgn0010294	new glue 2	protein_coding	31298
FBgn0032639	642.561455248639	-1.69850355392154	0.182125813440606	80.2515137066813	3.29659841764623e-19	3.08815724686381e-17	10.8013630895036	47.7122141192867	FBgn0032639		protein_coding	35050
FBti0019144	507.197829673223	4.89166441902422	0.511341414351873	79.7298914718687	4.29257141826624e-19	3.9797004911823e-17	9.36139103241845	0.436169116626879	FBti0019144		transposable_element	NA
FBgn0033600	918.547110501959	3.06727132947593	0.339192191408953	79.4395529363808	4.97206927225075e-19	4.56263458830112e-17	149.728655279398	24.5060764880218	FBgn0033600	Cuticular protein 47Ec	protein_coding	36191
FBgn0036551	1137.77771654661	1.66651129376691	0.189205979210169	79.3784912934943	5.12813619530355e-19	4.65831604084494e-17	99.7812344091178	39.9673942736854	FBgn0036551		protein_coding	39740
FBgn0024957	12421.6292077307	2.6571782120048	0.296741121816927	79.2315858714927	5.52398315539737e-19	4.96771805164885e-17	368.276782909125	88.5978877973136	FBgn0024957	Iron regulatory protein 1B	protein_coding	41269
FBgn0030594	1519.65473778053	-2.49971590212715	0.256424716495535	79.1202265875485	5.84429126130183e-19	5.20373379335519e-17	7.60100273667472	53.2166491223796	FBgn0030594	fezzik	protein_coding	32420
FBgn0051265	316.318451901523	2.91993003428335	0.326979155885587	78.8948765061386	6.55044178728911e-19	5.77530617579323e-17	39.2147306919791	5.70455705933759	FBgn0051265		protein_coding	42068
FBgn0032601	808.892767629786	-2.09485543803596	0.2228497199323	77.8187355870845	1.12943765340701e-18	9.8611969097954e-17	7.68095646717527	44.717940841013	FBgn0032601	yellow-b	protein_coding	35005
FBgn0028396	928.565274877104	-3.76285326493008	0.370423624479633	77.2605666463552	1.49827767297547e-18	1.28323915362556e-16	12.8733576308352	249.281623650819	FBgn0028396	Turandot A	protein_coding	44121
FBgn0051778	1089.22310960694	-1.54970871089106	0.168846849139033	77.2620911232189	1.4971216527623e-18	1.28323915362556e-16	29.4362227172155	116.201788442941	FBgn0051778		protein_coding	261616
FBgn0011834	182.756138115789	2.73805289936595	0.31374331276689	76.6704272718596	2.02005758852112e-18	1.71380923524249e-16	22.4240674873231	4.66267270365646	FBgn0011834	Serine protease 6	protein_coding	33073
FBgn0040992	3101.8326901227	-1.78012962369953	0.191949495948881	76.0266655880467	2.79859916353962e-18	2.33035206275109e-16	86.3858684716465	441.915088563755	FBgn0040992		protein_coding	50466
FBgn0260228	3101.8326901227	-1.78012962369953	0.191949495948881	76.0266655880467	2.79859916353962e-18	2.33035206275109e-16	86.3858684716465	441.915088563755	FBgn0260228		protein_coding	8674072
FBgn0031466	76.4788153467211	4.23615235666121	0.489806770963719	75.5950859183261	3.48227107210181e-18	2.87303337168914e-16	10.4710107652008	0.770533639132946	FBgn0031466		protein_coding	33479
